Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C2, C4, C7",0402,5,100nF,
"C3, C5, C8",0603,3,1uF,
"C6, C9",0805,2,10uF,
R1,0603,1,4.7K,
R2,0603,1,900K,
"R3, R4, R5, R6, R7, R8",0603,6,200K,
R9,0603,1,10K,
U1,SOT-23-5_L3.0-W1.7-P0.95-LS2.8-BR,1,TLV75533PDBVR,C404027
U2,WQFN-30_L4.5-W2.5-P0.4-BL-EP,1,HD3SS3220RNHR,C165155
USB1,USB-A-SMD_U-A-39WD-W-1,1,USB-A,C3020886
USB2,USB-C-SMD_USB-3.1-C-TYPE,1,USB-C,C7527710
